סמל מוסד,שם מוסד,יישוב
508275,תבונה ודעת,קרית גת
508424,אולפנת הללי לאומנויות,בית רבן
512491,בנימין רוטמן כדורי,כדורי
515502,"תיכונ""ט ע""ש אלתרמן",תל אביב - יפו
519090,"מח""ט המכללה הטכנולוגית אלאסרא",ערערה-בנגב
519108,"מח""ט עמל רמלה",רמלה
519116,חדש רחובות,רחובות
519124,"תיכון דרכא מח""ט",דימונה
519223,זיו אור,כפר חיטים
519314,"מח""ט עמל רהט",רהט
519363,עתיד ירכא,ירכא
519405,ישיבת דרכי דוד,בני ברק
519579,ישיבה לצעירים מאור י,רכסים
519595,ישיבת מאורות התורה,אשדוד
519603,ישיבת ארחות משה,בית שמש
519637,ישיבת קול יעקב לצעיר,ביתר עילית
519660,ישיבה לצעירים ק. שמו,חיפה
519736,עטרת יוסף שלום,מודיעין עילית
519900,ישיבת סקווירא,ירושלים
519918,תפארת דוד,בית שמש
519926,היכל משה,בית שמש
519959,ישיבת עטרת מתתיהו,נתניה
520056,אופק,הרצליה
520098,"ממ""ד לבנים",הרצליה
520205,ברושים,תל אביב - יפו
520288,עירוני נווה צדק,תל אביב - יפו
520585,שחף,בת ים
520619,יעד עמלני,בת ים
520676,"תיכון באר עמ""י",באר טוביה
520890,גיל,תל אביב - יפו
521112,בני יששכר,חדרה
521203,מעוף,פתח תקווה
521476,"אולפנת בנ""ע שירת הים",נוה צוף
521898,המרכז לעיצוב ולטכנול,אריאל
522235,נחלת ירושלים,ירושלים
522367,אלאהליה אלשאמלה קלנס,קלנסווה
522482,אלמג'ד,ירושלים
524157,זיו אור רמלה,רמלה
525923,תיכונית רעים,חולון
530683,מפתן הרצליה,הרצליה
533208,"עירוני כ""ח- רוז מצקין",תל אביב - יפו
540021,תיכון תלמה ילין,גבעתיים
540039,עירוני ראשית בנות,תל אביב - יפו
540047,משכנות אברהם,רמת גן
540062,גמנסיה עברית הרצליה,תל אביב - יפו
540070,"תיכון חדש ע""ש רבין",תל אביב - יפו
540088,עירוני י' אליאנס,תל אביב - יפו
540112,עירוני א' לאמנויות,תל אביב - יפו
540120,עירוני תורני ב' ג',תל אביב - יפו
540146,עירוני ד',תל אביב - יפו
540153,עירוני ה',תל אביב - יפו
540161,עירוני ו' מקיף,תל אביב - יפו
540179,קרית חינוך יפו,תל אביב - יפו
540187,תיכון ראשית עירוני ח,תל אביב - יפו
540195,עירוני ט',תל אביב - יפו
540203,תיכון אהל שם,רמת גן
540211,"עירוני ע""ש בליך",רמת גן
540237,תיכון בית יעקב,רמת גן
540252,"אולפנת הרא""ה תורני מדעי",רמת גן
540278,מקור ברוך,בני ברק
540286,תיכון עש יצחק בן צבי,קרית אונו
540294,עירוני עש פנחס אילון,חולון
540302,"חמ""ד תיכון יבנה אולפנת חולון",חולון
540310,מקיף שש שנתי קוגל,חולון
540328,עירוני כללי הראשונים,הרצליה
540344,"תיכון ע""ש קלעי",גבעתיים
540351,עירוני א' חשמונאים,בת ים
540369,בית ספר בית וגן דרכא,בת ים
540377,עירוני כללי,בני ברק
540385,אולפנת צביה בני ברק,בני ברק
540393,מוסדות חנוך אור חיים,בני ברק
540401,סמינר וולף,בני ברק
540443,גמנסיה מודיעים,רמת גן
540450,הייטק היי,חולון
540468,מקיף חדש,ריינה
540476,ישיבת הרב עמיאל,תל אביב - יפו
540484,ישיבה תכונית בר אילן,תל אביב - יפו
540492,עירוני מקיף רמות,בת ים
540500,"ע""ש יצחק נבון מודיעין",מודיעין-מכבים-רעות
540526,ישיבת בית מדרש עליון,בני ברק
540534,"תיכון איתן ע""ש רפאל איתן",רמת גן
540542,אולפנית הדר גנים,פתח תקווה
540567,ראס אל עמוד לבנים,ירושלים
540591,תיכון שמעון בן צבי,גבעתיים
540609,ישיבת סלבודקה,בני ברק
540674,"ישיבת ב""ע אדרת",בת ים
540708,באר אברהם,אלעד
540807,אנקורי,תל אביב - יפו
540849,"ישיבה תיכונית בנ""ע קרית הרצוג",בני ברק
540856,תיכון בית יעקב וזניץ,בני ברק
540864,מקיף שש שנתי הרצוג,חולון
540898,"אולפנית בנ""ע תל אביב",תל אביב - יפו
540930,תיכון חסידי בית יעקב,בני ברק
540963,ישיבת אמרי אמת,בני ברק
540971,ישיבת בית ישראל,בני ברק
540989,מוסדות חסידי בעלזא,בני ברק
541045,"מקיף ע""ש יגאל אלון",רמת השרון
541052,ישיבת קרלין סטולין,בני ברק
541060,תיכון בית מלכה,בני ברק
541086,ישיבת בית מאיר,בני ברק
541094,נזר שראל,ראשון לציון
541102,ישיבת אור גאון,בני ברק
541110,מקיף שש שנתי ק. שרת,חולון
541128,מרכז מוסדות נדבורנה,בני ברק
541144,קנייני התורה,בני ברק
541151,ישיבת ויזניץ,בני ברק
541169,מקיף היובל,הרצליה
541177,ישיבת מגן הילד,בני ברק
541185,ישיבת תפארת משה,בני ברק
541201,ישיבת חזון נחום,בני ברק
541219,ישיבת מאור ישראל,בני ברק
541235,בית יעקב חסידי,בני ברק
541243,ישיבת ברכת אפרים,בני ברק
541268,תיכון אלון,רמת גן
541284,ישיבת גאון צבי,בני ברק
541334,ישיבת תפארת-מרדכי,בני ברק
541367,מקיף לאורו נלך,בני ברק
541391,ישיבת זכרון דוד,בני ברק
541409,חכמת שלמה,בני ברק
541441,ישיבה קטנה למצויינים,בני ברק
541458,ישיבת כנסת יששכר,בני ברק
541466,שירת חנה,תל אביב - יפו
541474,סמינר הרב מאיר,בני ברק
541482,סמינר אלקיים,בני ברק
541490,סמינר תהילה,בני ברק
541508,סמינר כהנא,בני ברק
541532,תיכון טומשין חולון,חולון
541565,ישיבת בית מנחם,בני ברק
541581,הפתוח הדמוקרטי,תל אביב - יפו
541599,שיח יצחק,בני ברק
541631,ישיבת חסידי דאראג,בני ברק
541656,אור חנה,אור יהודה
541672,ישיבה לצעירים,בני ברק
541680,אורט עטרת רחל,בני ברק
541722,ישיבת משכן התורה,בני ברק
541748,ישיבת אורחות תורה,בני ברק
541771,אור אברהם,בני ברק
